date,open,high,low,close,volume,average,barCount
2025-09-26 15:50:00-04:00,255.28,255.28,255.06,255.13,103474.0,255.152,667
2025-09-26 15:51:00-04:00,255.12,255.22,255.1,255.17,115594.0,255.165,736
2025-09-26 15:52:00-04:00,255.16,255.23,254.98,255.0,124576.0,255.096,826
2025-09-26 15:53:00-04:00,255.01,255.06,254.9,255.06,169455.0,254.963,929
2025-09-26 15:54:00-04:00,255.04,255.32,254.98,255.24,133148.0,255.149,903
2025-09-26 15:55:00-04:00,255.25,255.38,255.22,255.36,184285.0,255.327,1059
2025-09-26 15:56:00-04:00,255.37,255.46,254.93,255.2,283963.0,255.253,2095
2025-09-26 15:57:00-04:00,255.2,255.39,255.12,255.34,185802.0,255.257,1250
2025-09-26 15:58:00-04:00,255.33,255.43,255.26,255.41,240075.0,255.361,1573
2025-09-26 15:59:00-04:00,255.41,255.53,255.31,255.46,490680.0,255.407,3301
