Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EONR,EON Resources Inc. Class A Common Stock,$0.3878,0.0028,0.727%,7666550.00,,2022,890548,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$5.63,0.24,4.453%,189842063.00,United States,2022,11019,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.00,0.03,0.604%,171538200.00,United States,,91791,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.80,-0.04,-0.685%,2645417230.00,Canada,,10925711,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.55,-0.06,-0.624%,0.00,United States,2003,47123,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.5193,-0.0374,-0.324%,0.00,,2004,10583,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$47.31,0.82,1.764%,133953487.00,United States,1960,18627,Technology,Industrial Machinery/Components
EVI,EVI Industries Inc.  Common Stock,$24.98,2.09,9.131%,318712601.00,United States,1999,4129,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.01,0.04,0.446%,0.00,United States,2002,37257,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.38,0.08,0.777%,0.00,United States,2003,142349,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$32.80,3.36,11.413%,943330919.00,United States,,147662,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$16.34,-0.04,-0.244%,0.00,United States,1986,74703,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.52,0.04,0.617%,0.00,United States,1992,86443,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$2.33,0.27,13.107%,186701935.00,,2023,25217,Consumer Discretionary,Transportation Services
FLYY,Spirit Aviation Holdings Inc. Common Stock,$5.11,0.20,4.073%,125578322.00,,2025,82374,,
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.175,-0.003,-1.685%,1156688.00,,2022,1366220,Finance,Life Insurance
FSI,Flexible Solutions International Inc. Common Stock (CDA),$5.54,0.14,2.593%,70067327.00,Canada,2002,30657,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.78,0.01,0.565%,184348753.00,United States,,159279,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.50,-0.01,-0.154%,262634931.00,United States,2003,105432,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.514,0.009,1.782%,82410825.00,,2020,57738,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.32,0.00,0.00%,339952503.00,Canada,,817206,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.16,0.00,0.00%,5953043.00,United States,1993,3541,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$15.11,0.44,2.999%,221477877.00,United States,,12038,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.51,0.02,0.445%,0.00,United States,2005,634514,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$20.69,0.07,0.339%,,United States,,4617,,
GLDG,GoldMining Inc. Common Shares,$0.728,-0.002,-0.274%,142640794.00,,,138956,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.455,0.015,0.276%,0.00,United States,2006,108210,Finance,Finance/Investors Services
